model_id,story_id,condition_id,persona_id,temperature,temperature_label,emotion,membership_family,membership_hmax,n_attempts,n_valid_entropy,n_missing_entropy,n_valid_H_raw,mean_H_raw,median_H_raw,sd_H_raw,min_H_raw,max_H_raw,n_valid_H_norm,mean_H_norm,median_H_norm,sd_H_norm,min_H_norm,max_H_norm
anthropic/claude-sonnet-4.5,T1,C06,p2,0.4,t04,sadness,sigmoid_s_v1,1.018502773018,3,3,0,3,0.769302148,0.769302148,0.0,0.769302148,0.769302148,3,0.755326513,0.755326513,0.0,0.755326513,0.755326513
anthropic/claude-sonnet-4.5,T1,C06,p2,0.4,t04,surprise,legacy_linear_v1,1.057697511124,3,3,0,3,0.915568584,0.862808037,0.074614681,0.862808037,1.021089678,3,0.865624221,0.815741768,0.070544442,0.815741768,0.965389128
anthropic/claude-sonnet-4.5,T1,C06,p2,0.4,t04,surprise,sigmoid_s_v1,1.018502773018,3,3,0,3,0.551157623,0.511089574,0.056664778,0.511089574,0.631293721,3,0.541144941,0.501804794,0.05563537,0.501804794,0.619825235
anthropic/claude-sonnet-4.5,T1,C07,p2,0.7,t07,anger,legacy_linear_v1,1.057697511124,3,3,0,3,0.328136583,0.328136583,0.0,0.328136583,0.328136583,3,0.310236698,0.310236698,0.0,0.310236698,0.310236698
anthropic/claude-sonnet-4.5,T1,C07,p2,0.7,t07,anger,sigmoid_s_v1,1.018502773018,3,3,0,3,0.115989832,0.115989832,0.0,0.115989832,0.115989832,3,0.113882686,0.113882686,0.0,0.113882686,0.113882686
anthropic/claude-sonnet-4.5,T1,C07,p2,0.7,t07,interest,legacy_linear_v1,1.057697511124,3,3,0,3,0.521146811,0.521146811,0.0,0.521146811,0.521146811,3,0.492718198,0.492718198,0.0,0.492718198,0.492718198
anthropic/claude-sonnet-4.5,T1,C07,p2,0.7,t07,interest,sigmoid_s_v1,1.018502773018,3,3,0,3,0.530069958,0.530069958,0.0,0.530069958,0.530069958,3,0.520440368,0.520440368,0.0,0.520440368,0.520440368
anthropic/claude-sonnet-4.5,T1,C07,p2,0.7,t07,sadness,legacy_linear_v1,1.057697511124,3,3,0,3,1.0,1.0,0.0,1.0,1.0,3,0.945449894,0.945449894,0.0,0.945449894,0.945449894
anthropic/claude-sonnet-4.5,T1,C07,p2,0.7,t07,sadness,sigmoid_s_v1,1.018502773018,3,3,0,3,0.769302148,0.769302148,0.0,0.769302148,0.769302148,3,0.755326513,0.755326513,0.0,0.755326513,0.755326513
anthropic/claude-sonnet-4.5,T1,C07,p2,0.7,t07,surprise,legacy_linear_v1,1.057697511124,3,3,0,3,0.968329131,1.021089678,0.074614681,0.862808037,1.021089678,3,0.915506675,0.965389128,0.070544442,0.815741768,0.965389128
anthropic/claude-sonnet-4.5,T1,C07,p2,0.7,t07,surprise,sigmoid_s_v1,1.018502773018,3,3,0,3,0.591225672,0.631293721,0.056664778,0.511089574,0.631293721,3,0.580485088,0.619825235,0.05563537,0.501804794,0.619825235
anthropic/claude-sonnet-4.5,T1,C08,p2,0.9,t09,anger,legacy_linear_v1,1.057697511124,3,3,0,3,0.291822835,0.328136583,0.051355395,0.219195338,0.328136583,3,0.275903868,0.310236698,0.048553953,0.207238209,0.310236698
anthropic/claude-sonnet-4.5,T1,C08,p2,0.9,t09,anger,sigmoid_s_v1,1.018502773018,3,3,0,3,0.088753223,0.115989832,0.038518382,0.034280004,0.115989832,3,0.087140875,0.113882686,0.037818633,0.033657252,0.113882686
anthropic/claude-sonnet-4.5,T1,C08,p2,0.9,t09,interest,legacy_linear_v1,1.057697511124,3,3,0,3,0.521146811,0.521146811,0.0,0.521146811,0.521146811,3,0.492718198,0.492718198,0.0,0.492718198,0.492718198
anthropic/claude-sonnet-4.5,T1,C08,p2,0.9,t09,interest,sigmoid_s_v1,1.018502773018,3,3,0,3,0.530069958,0.530069958,0.0,0.530069958,0.530069958,3,0.520440368,0.520440368,0.0,0.520440368,0.520440368
anthropic/claude-sonnet-4.5,T1,C08,p2,0.9,t09,sadness,legacy_linear_v1,1.057697511124,3,3,0,3,1.0,1.0,0.0,1.0,1.0,3,0.945449894,0.945449894,0.0,0.945449894,0.945449894
anthropic/claude-sonnet-4.5,T1,C08,p2,0.9,t09,sadness,sigmoid_s_v1,1.018502773018,3,3,0,3,0.769302148,0.769302148,0.0,0.769302148,0.769302148,3,0.755326513,0.755326513,0.0,0.755326513,0.755326513
anthropic/claude-sonnet-4.5,T1,C08,p2,0.9,t09,surprise,legacy_linear_v1,1.057697511124,3,3,0,3,1.021089678,1.021089678,0.0,1.021089678,1.021089678,3,0.965389128,0.965389128,0.0,0.965389128,0.965389128
anthropic/claude-sonnet-4.5,T1,C08,p2,0.9,t09,surprise,sigmoid_s_v1,1.018502773018,3,3,0,3,0.631293721,0.631293721,0.0,0.631293721,0.631293721,3,0.619825235,0.619825235,0.0,0.619825235,0.619825235
anthropic/claude-sonnet-4.5,T1,C09,p3,0.1,t01,anger,legacy_linear_v1,1.057697511124,3,3,0,3,1.0,1.0,0.0,1.0,1.0,3,0.945449894,0.945449894,0.0,0.945449894,0.945449894
