metric,emotion,n_units,mean_SS_persona,mean_SS_temperature,mean_SS_persona_x_temperature,mean_total_SS,mean_interaction_burden,median_interaction_burden,mean_separability_share,median_separability_share
H_norm_sigmoid_s_v1,anger,18,0.334538667,0.033832556,0.084602222,0.452973444,0.282550667,0.29819,0.717449333,0.70181
H_norm_sigmoid_s_v1,interest,18,0.327153,0.014424444,0.044711111,0.386288556,0.135054167,0.082526,0.864945833,0.917474
H_norm_sigmoid_s_v1,sadness,18,1.023689611,0.025274111,0.059308556,1.108272278,0.095581,0.0501295,0.904419,0.9498705
H_norm_sigmoid_s_v1,surprise,18,0.406081556,0.020895778,0.074236444,0.501213778,0.198217222,0.1355835,0.801782778,0.8644165
score,anger,18,2449.15375,37.408194444,74.072361111,2560.634305556,0.131655278,0.080627,0.868344722,0.919373
score,interest,18,2419.269722222,20.421944444,62.309166667,2502.000833333,0.04554,0.019062,0.95446,0.980938
score,sadness,18,3700.667083333,14.382638889,71.360138889,3786.409861111,0.034137611,0.020988,0.965862389,0.979012
score,surprise,18,2655.211805556,27.74625,80.724305556,2763.682361111,0.069986944,0.0301105,0.930013056,0.9698895
