metric,model_id,story_id,emotion,is_estimable,missing_cells,SS_persona,SS_temperature,SS_persona_x_temperature,interaction_burden,separability_share,total_SS
H_norm_sigmoid_s_v1,deepseek/deepseek-v3.2,T3,surprise,True,0,0.10859,0.079415,0.154584,0.451223,0.548777,0.342589
H_norm_sigmoid_s_v1,google/gemini-2.5-pro,T1,anger,True,0,0.000315,0.000315,0.000944,0.6,0.4,0.001574
H_norm_sigmoid_s_v1,google/gemini-2.5-pro,T1,interest,True,0,0.163126,0.044166,0.112251,0.351287,0.648713,0.319543
H_norm_sigmoid_s_v1,google/gemini-2.5-pro,T1,sadness,True,0,0.488963,0.015674,0.040691,0.074618,0.925382,0.545328
H_norm_sigmoid_s_v1,google/gemini-2.5-pro,T1,surprise,True,0,0.616458,0.049037,0.221952,0.250102,0.749898,0.887447
H_norm_sigmoid_s_v1,google/gemini-2.5-pro,T2,anger,True,0,0.062359,0.027586,0.042509,0.320934,0.679066,0.132454
H_norm_sigmoid_s_v1,google/gemini-2.5-pro,T2,interest,True,0,0.448418,0.036669,0.053886,0.099979,0.900021,0.538973
H_norm_sigmoid_s_v1,google/gemini-2.5-pro,T2,sadness,True,0,0.518028,0.068791,0.193801,0.248265,0.751735,0.78062
H_norm_sigmoid_s_v1,google/gemini-2.5-pro,T2,surprise,True,0,0.026178,0.003418,0.011266,0.275713,0.724287,0.040862
H_norm_sigmoid_s_v1,google/gemini-2.5-pro,T3,anger,True,0,0.162183,0.00445,0.01371,0.076022,0.923978,0.180343
H_norm_sigmoid_s_v1,google/gemini-2.5-pro,T3,interest,True,0,0.442134,0.02885,0.179286,0.27571,0.72429,0.65027
H_norm_sigmoid_s_v1,google/gemini-2.5-pro,T3,sadness,True,0,0.468029,0.008379,0.036545,0.071244,0.928756,0.512953
H_norm_sigmoid_s_v1,google/gemini-2.5-pro,T3,surprise,True,0,0.213178,0.03581,0.224718,0.474383,0.525617,0.473706
H_norm_sigmoid_s_v1,meta-llama/llama-4-maverick,T1,anger,True,0,0.207354,0.174886,0.211516,0.356234,0.643766,0.593756
H_norm_sigmoid_s_v1,meta-llama/llama-4-maverick,T1,interest,True,0,0.295012,0.003354,0.010063,0.032627,0.967373,0.308429
H_norm_sigmoid_s_v1,meta-llama/llama-4-maverick,T1,sadness,True,0,1.810335,0.108348,0.15573,0.075072,0.924928,2.074413
H_norm_sigmoid_s_v1,meta-llama/llama-4-maverick,T1,surprise,True,0,1.205584,0.067985,0.053127,0.040045,0.959955,1.326696
H_norm_sigmoid_s_v1,meta-llama/llama-4-maverick,T2,anger,True,0,0.152058,0.039285,0.07257,0.274978,0.725022,0.263913
H_norm_sigmoid_s_v1,meta-llama/llama-4-maverick,T2,interest,True,0,0.035239,0.012226,0.026609,0.359223,0.640777,0.074074
H_norm_sigmoid_s_v1,meta-llama/llama-4-maverick,T2,sadness,True,0,2.225098,0.013427,0.040281,0.017676,0.982324,2.278806
H_norm_sigmoid_s_v1,meta-llama/llama-4-maverick,T2,surprise,True,0,0.026265,0.011535,0.027989,0.425432,0.574568,0.065789
H_norm_sigmoid_s_v1,meta-llama/llama-4-maverick,T3,anger,True,0,0.187311,0.020312,0.084032,0.288122,0.711878,0.291655
