model_id,provider,n_responses,valid_output_rate,mean_cell_valid_output_rate,mean_within_cell_sd_score,mean_cell_H_norm,mean_profile_entropy,mean_target_shift_abs
anthropic/claude-sonnet-4.5,openrouter,60,1.0,1.0,3.197648,0.469909,0.851784,18.716667
deepseek/deepseek-v3.2,openrouter,60,1.0,1.0,7.268133,0.270318,0.774712,12.466667
google/gemini-2.5-pro,openrouter,60,1.0,1.0,5.978447,0.269219,0.743199,24.291667
meta-llama/llama-4-maverick,openrouter,60,1.0,1.0,4.031645,0.37615,0.889589,5.916667
openai/gpt-5.4,openrouter,60,1.0,1.0,2.676327,0.365859,0.863257,6.641667
x-ai/grok-4.20,openrouter,60,1.0,1.0,2.403945,0.425034,0.931072,5.75
