run_id,stage,design_id,manifest_row,model_id,provider,language,story_id,target_mode,repetition,ok,profile_entropy
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,38,openai/gpt-5.4,openrouter,en,T2,character_side,9,True,0.7963998
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,39,openai/gpt-5.4,openrouter,en,T2,character_side,10,True,0.86107097
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,40,openai/gpt-5.4,openrouter,en,T3,reader_side,1,True,0.993704887
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,41,openai/gpt-5.4,openrouter,en,T3,reader_side,2,True,0.995826187
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,42,openai/gpt-5.4,openrouter,en,T3,reader_side,3,True,0.995489136
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,43,openai/gpt-5.4,openrouter,en,T3,reader_side,4,True,0.996884874
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,44,openai/gpt-5.4,openrouter,en,T3,reader_side,5,True,0.995447843
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,45,openai/gpt-5.4,openrouter,en,T3,reader_side,6,True,0.995085481
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,46,openai/gpt-5.4,openrouter,en,T3,reader_side,7,True,0.993468047
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,47,openai/gpt-5.4,openrouter,en,T3,reader_side,8,True,0.995801418
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,48,openai/gpt-5.4,openrouter,en,T3,reader_side,9,True,0.996126892
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,49,openai/gpt-5.4,openrouter,en,T3,reader_side,10,True,0.996256503
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,50,openai/gpt-5.4,openrouter,en,T3,character_side,1,True,0.967410234
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,51,openai/gpt-5.4,openrouter,en,T3,character_side,2,True,0.968781662
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,52,openai/gpt-5.4,openrouter,en,T3,character_side,3,True,0.949789123
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,53,openai/gpt-5.4,openrouter,en,T3,character_side,4,True,0.964208924
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,54,openai/gpt-5.4,openrouter,en,T3,character_side,5,True,0.9657919
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,55,openai/gpt-5.4,openrouter,en,T3,character_side,6,True,0.968259434
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,56,openai/gpt-5.4,openrouter,en,T3,character_side,7,True,0.979226824
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,57,openai/gpt-5.4,openrouter,en,T3,character_side,8,True,0.968515241
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,58,openai/gpt-5.4,openrouter,en,T3,character_side,9,True,0.968029711
icicic2026_benchmark_positioning_v1_stable6_main,main,icicic2026_benchmark_positioning_v1,59,openai/gpt-5.4,openrouter,en,T3,character_side,10,True,0.966628484
