model_id,story_id,condition_id,persona_id,temperature,temperature_label,emotion,membership_family,membership_hmax,n_attempts,n_valid_entropy,n_missing_entropy,n_valid_H_raw,mean_H_raw,median_H_raw,sd_H_raw,min_H_raw,max_H_raw,n_valid_H_norm,mean_H_norm,median_H_norm,sd_H_norm,min_H_norm,max_H_norm
x-ai/grok-4.20,T1,C06,p2,0.4,t04,surprise,sigmoid_s_v1,1.018502773018,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C07,p2,0.7,t07,anger,legacy_linear_v1,1.057697511124,5,5,0,5,1.0,1.0,0.0,1.0,1.0,5,0.945449894,0.945449894,0.0,0.945449894,0.945449894
x-ai/grok-4.20,T1,C07,p2,0.7,t07,anger,sigmoid_s_v1,1.018502773018,5,5,0,5,0.769302148,0.769302148,0.0,0.769302148,0.769302148,5,0.755326513,0.755326513,0.0,0.755326513,0.755326513
x-ai/grok-4.20,T1,C07,p2,0.7,t07,interest,legacy_linear_v1,1.057697511124,5,5,0,5,1.021089678,1.021089678,0.0,1.021089678,1.021089678,5,0.965389128,0.965389128,0.0,0.965389128,0.965389128
x-ai/grok-4.20,T1,C07,p2,0.7,t07,interest,sigmoid_s_v1,1.018502773018,5,5,0,5,0.631293721,0.631293721,0.0,0.631293721,0.631293721,5,0.619825235,0.619825235,0.0,0.619825235,0.619825235
x-ai/grok-4.20,T1,C07,p2,0.7,t07,sadness,legacy_linear_v1,1.057697511124,5,5,0,5,0.389975,0.389975,0.0,0.389975,0.389975,5,0.368701823,0.368701823,0.0,0.368701823,0.368701823
x-ai/grok-4.20,T1,C07,p2,0.7,t07,sadness,sigmoid_s_v1,1.018502773018,5,5,0,5,0.208589563,0.208589563,0.0,0.208589563,0.208589563,5,0.204800192,0.204800192,0.0,0.204800192,0.204800192
x-ai/grok-4.20,T1,C07,p2,0.7,t07,surprise,legacy_linear_v1,1.057697511124,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C07,p2,0.7,t07,surprise,sigmoid_s_v1,1.018502773018,5,5,0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
x-ai/grok-4.20,T1,C08,p2,0.9,t09,anger,legacy_linear_v1,1.057697511124,5,5,0,5,1.0,1.0,0.0,1.0,1.0,5,0.945449894,0.945449894,0.0,0.945449894,0.945449894
x-ai/grok-4.20,T1,C08,p2,0.9,t09,anger,sigmoid_s_v1,1.018502773018,5,5,0,5,0.769302148,0.769302148,0.0,0.769302148,0.769302148,5,0.755326513,0.755326513,0.0,0.755326513,0.755326513
x-ai/grok-4.20,T1,C08,p2,0.9,t09,interest,legacy_linear_v1,1.057697511124,5,5,0,5,1.021089678,1.021089678,0.0,1.021089678,1.021089678,5,0.965389128,0.965389128,0.0,0.965389128,0.965389128
x-ai/grok-4.20,T1,C08,p2,0.9,t09,interest,sigmoid_s_v1,1.018502773018,5,5,0,5,0.631293721,0.631293721,0.0,0.631293721,0.631293721,5,0.619825235,0.619825235,0.0,0.619825235,0.619825235
x-ai/grok-4.20,T1,C08,p2,0.9,t09,sadness,legacy_linear_v1,1.057697511124,5,5,0,5,0.389975,0.389975,0.0,0.389975,0.389975,5,0.368701823,0.368701823,0.0,0.368701823,0.368701823
x-ai/grok-4.20,T1,C08,p2,0.9,t09,sadness,sigmoid_s_v1,1.018502773018,5,5,0,5,0.208589563,0.208589563,0.0,0.208589563,0.208589563,5,0.204800192,0.204800192,0.0,0.204800192,0.204800192
