run_id,stage,design_id,manifest_row,model_id,provider,language,story_id,target_mode,repetition,ok,profile_entropy
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,40,openai/gpt-5-mini,openrouter,en,T3,reader_side,1,True,0.966075361
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,41,openai/gpt-5-mini,openrouter,en,T3,reader_side,2,True,0.976576294
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,42,openai/gpt-5-mini,openrouter,en,T3,reader_side,3,True,0.950018941
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,43,openai/gpt-5-mini,openrouter,en,T3,reader_side,4,True,0.956636447
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,44,openai/gpt-5-mini,openrouter,en,T3,reader_side,5,True,0.984724005
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,45,openai/gpt-5-mini,openrouter,en,T3,reader_side,6,True,0.956484772
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,46,openai/gpt-5-mini,openrouter,en,T3,reader_side,7,True,0.983067678
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,47,openai/gpt-5-mini,openrouter,en,T3,reader_side,8,True,0.981884635
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,48,openai/gpt-5-mini,openrouter,en,T3,reader_side,9,True,0.972269659
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,49,openai/gpt-5-mini,openrouter,en,T3,reader_side,10,True,0.970282423
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,50,openai/gpt-5-mini,openrouter,en,T3,character_side,1,True,0.955732572
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,51,openai/gpt-5-mini,openrouter,en,T3,character_side,2,True,0.963044257
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,52,openai/gpt-5-mini,openrouter,en,T3,character_side,3,True,0.990733788
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,53,openai/gpt-5-mini,openrouter,en,T3,character_side,4,True,0.986456248
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,54,openai/gpt-5-mini,openrouter,en,T3,character_side,5,True,0.975806748
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,55,openai/gpt-5-mini,openrouter,en,T3,character_side,6,True,0.989753789
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,56,openai/gpt-5-mini,openrouter,en,T3,character_side,7,True,0.986331282
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,57,openai/gpt-5-mini,openrouter,en,T3,character_side,8,True,0.975806748
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,58,openai/gpt-5-mini,openrouter,en,T3,character_side,9,True,0.989753789
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,59,openai/gpt-5-mini,openrouter,en,T3,character_side,10,True,0.938210167
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,60,anthropic/claude-haiku-4.5,openrouter,en,T1,reader_side,1,True,0.956741194
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,61,anthropic/claude-haiku-4.5,openrouter,en,T1,reader_side,2,True,0.958485056
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,62,anthropic/claude-haiku-4.5,openrouter,en,T1,reader_side,3,True,0.902279389
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,63,anthropic/claude-haiku-4.5,openrouter,en,T1,reader_side,4,True,0.956741194
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,64,anthropic/claude-haiku-4.5,openrouter,en,T1,reader_side,5,True,0.899900599
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,65,anthropic/claude-haiku-4.5,openrouter,en,T1,reader_side,6,True,0.899900599
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,66,anthropic/claude-haiku-4.5,openrouter,en,T1,reader_side,7,True,0.943665692
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,67,anthropic/claude-haiku-4.5,openrouter,en,T1,reader_side,8,True,0.899900599
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,68,anthropic/claude-haiku-4.5,openrouter,en,T1,reader_side,9,True,0.883804105
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,69,anthropic/claude-haiku-4.5,openrouter,en,T1,reader_side,10,True,0.956741194
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,70,anthropic/claude-haiku-4.5,openrouter,en,T1,character_side,1,True,0.947379716
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,71,anthropic/claude-haiku-4.5,openrouter,en,T1,character_side,2,True,0.947379716
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,72,anthropic/claude-haiku-4.5,openrouter,en,T1,character_side,3,True,0.947379716
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,73,anthropic/claude-haiku-4.5,openrouter,en,T1,character_side,4,True,0.947379716
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,74,anthropic/claude-haiku-4.5,openrouter,en,T1,character_side,5,True,0.947379716
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,75,anthropic/claude-haiku-4.5,openrouter,en,T1,character_side,6,True,0.956741194
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,76,anthropic/claude-haiku-4.5,openrouter,en,T1,character_side,7,True,0.947379716
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,77,anthropic/claude-haiku-4.5,openrouter,en,T1,character_side,8,True,0.956741194
icicic2026_benchmark_positioning_v1_main,main,icicic2026_benchmark_positioning_v1,78,anthropic/claude-haiku-4.5,openrouter,en,T1,character_side,9,True,0.958485056
