metric,emotion,n_units,mean_persona_share,mean_temperature_share,mean_interaction_burden,median_interaction_burden,mean_separability_share,median_total_SS
H_norm_sigmoid_s_v1,anger,18,0.610205001,0.107258666,0.282536333,0.298189838,0.717463667,0.302523
H_norm_sigmoid_s_v1,interest,18,0.81661386,0.048332239,0.135053901,0.082526656,0.864946099,0.328166
H_norm_sigmoid_s_v1,sadness,18,0.870591902,0.033827062,0.095581036,0.050129577,0.904418964,0.8568575
H_norm_sigmoid_s_v1,surprise,18,0.733133084,0.06865037,0.198216546,0.135583457,0.801783454,0.4602145
score,anger,18,0.808339565,0.060005109,0.131655326,0.080627106,0.868344674,613.21875
score,interest,18,0.936769155,0.01769086,0.045539984,0.019061879,0.954460016,1942.59375
score,sadness,18,0.953340768,0.012521654,0.034137578,0.020988074,0.965862422,1030.75
score,surprise,18,0.900213073,0.029799879,0.069987048,0.03011064,0.930012952,2756.84375
