model_id,provider,route,model_group,candidate_role,attempted_temperatures,accepted_temperatures,required_temperatures,n_attempts,n_ok,n_failed,malformed_or_error_rate,mean_elapsed_sec,error_status_codes,validation_errors,passes_phase1_gate
anthropic/claude-sonnet-4.5,openrouter,openrouter,main_panel_candidates,frontier_reference,"[0.1, 0.4, 0.7, 0.9]","[0.1, 0.4, 0.7, 0.9]","[0.1, 0.4, 0.7, 0.9]",4,4,0,0.0,11.63,[],[],True
deepseek/deepseek-v3.2,openrouter,openrouter,main_panel_candidates,efficient_high_end,"[0.1, 0.4, 0.7, 0.9]","[0.1, 0.4, 0.7, 0.9]","[0.1, 0.4, 0.7, 0.9]",4,4,0,0.0,11.745,[],[],True
google/gemini-2.5-pro,openrouter,openrouter,main_panel_candidates,frontier_reference,"[0.1, 0.4, 0.7, 0.9]","[0.1, 0.4, 0.7, 0.9]","[0.1, 0.4, 0.7, 0.9]",4,4,0,0.0,9.648,[],[],True
openai/gpt-5.4,openrouter,openrouter,main_panel_candidates,frontier_reference,"[0.1, 0.4, 0.7, 0.9]","[0.1, 0.4, 0.7, 0.9]","[0.1, 0.4, 0.7, 0.9]",4,4,0,0.0,4.304,[],[],True
qwen/qwen3.6-plus,openrouter,openrouter,main_panel_candidates,efficient_high_end,"[0.1, 0.4, 0.7, 0.9]",[],"[0.1, 0.4, 0.7, 0.9]",4,0,4,1.0,57.866,[],"[""missing:reasons"", ""missing:scores"", ""reasons_not_object"", ""scores_not_object""]",False
x-ai/grok-4.20,openrouter,openrouter,main_panel_candidates,flagship_current,"[0.1, 0.4, 0.7, 0.9]","[0.1, 0.4, 0.7, 0.9]","[0.1, 0.4, 0.7, 0.9]",4,4,0,0.0,3.246,[],[],True
